_latitude,_longitude,country,prospect,sample_id,easting,northing
-7.079854,-78.7426941,Perú,Leonidas,450670,,
-7.0798383,-78.7426682,Perú,Leonidas,450671,749343,9216814
-7.078874,-78.742724,Perú,Fabiana,450674,749339,9216926
-7.079943,-78.741574,Perú,Fabiana,450667,749463,9216804
-7.077172,-78.742608,Perú,Fabiana,450675,749351,9217116
-7.0761917,-78.742945,Perú,Leonidas,450668,749312,9217228
-7.0781264,-78.7435927,Perú,Leonidas,450672,749239,9217000
-7.0752514,-78.7418197,Perú,Leonidas,450673,749439,9217326
-7.074458,-78.7436532,Perú,Leonidas,450685,749242,9217418
-7.0758356,-78.7419249,Perú,Leonidas,450669,749423,9217262
-7.0734016,-78.7427968,Perú,Leonidas,450681,749336,9217537
-7.0716283,-78.7419017,Perú,Leonidas,450677,,
-7.0741193,-78.7415055,Perú,Leonidas,450680,,
-7.0741268,-78.7415355,Perú,Leonidas,450679,749475,9217449
-7.0727418,-78.7428262,Perú,Leonidas,450687,749327,9217599
-7.0723309,-78.7419501,Perú,Leonidas,450683,749427,9217650
-7.0746192,-78.7429977,Perú,Leonidas,450682,749314,9217393
-7.0733685,-78.7435246,Perú,Leonidas,450686,749248,9217538
-7.0716331,-78.7418902,Perú,Leonidas,450678,749434,9217728
-7.0733827,-78.7418046,Perú,Leonidas,450676,749434,9217541
-7.07905,-78.7490383,Perú,Leonidas,450690,,
-7.0789317,-78.74991,Perú,Leonidas,450691,748540,9216918
-7.0797589,-78.7490161,Perú,Leonidas,450697,748648,9216831
-7.0807455,-78.7490242,Perú,Leonidas,450694,748635,9216724
-7.0806883,-78.7498885,Perú,Leonidas,450688,748546,9216732
-7.07889,-78.747185,Perú,Leonidas,450693,748853,9216918
-7.0791367,-78.7480517,Perú,Leonidas,450692,748752,9216905
-7.0797806,-78.748321,Perú,Leonidas,450698,748718,9216830
-7.0798121,-78.7499757,Perú,Leonidas,450684,748535,9216825
-7.079025,-78.749055,Perú,Leonidas,450689,748641,9216913
-7.078115,-78.7491867,Perú,Leonidas,450702,748621,9217018
-7.0795101,-78.7471184,Perú,Leonidas,450707,748856,9216858
-7.0780662,-78.745292,Perú,Leonidas,450706,749054,9217010
-7.0798861,-78.7444957,Perú,Leonidas,450705,749140,9216815
-7.0808317,-78.7469574,Perú,Fabiana,450695,748857,9216696
-7.0779406,-78.7469869,Perú,Fabiana,450703,748867,9217031
-7.1579985,-78.5149996,Perú,Leonidas,450696,,
-7.0780408,-78.7481711,Perú,Leonidas,450700,,
-7.0780562,-78.748218,Perú,Leonidas,450699,748732,9217022
-7.0780517,-78.7499233,Perú,Leonidas,450701,748544,9217021
-7.0761934,-78.7508682,Perú,Fabiana,450716,748436,9217228
-7.0762226,-78.7490279,Perú,Fabiana,450704,748627,9217216
-7.0770417,-78.7507264,Perú,Leonidas,450713,748457,9217136
-7.0771717,-78.7520571,Perú,Leonidas,450712,748317,9217128
-7.0772551,-78.7490825,Perú,Leonidas,450709,748636,9217107
-7.0771504,-78.747235,Perú,Leonidas,450708,748843,9217122
-7.0761862,-78.7499001,Perú,Fabiana,450715,748544,9217222
